x,y,z,distance
711.589599609375,-32.03459930419922,2.1436760425567627,3948.646240234375
712.9087524414062,-32.39169692993164,6.517607688903809,3954.051513671875
714.24658203125,-32.75600051879883,10.910552978515625,3959.5009765625
715.4124755859375,-33.07020568847656,14.69206428527832,3963.939208984375
716.81396484375,-33.44972229003906,19.172100067138672,3968.929443359375
718.1087646484375,-33.8024787902832,23.278051376342773,3973.26123046875
719.3472290039062,-34.12406539916992,27.182777404785156,3977.1826171875
720.436767578125,-34.387203216552734,30.54910659790039,3980.442138671875
721.5540161132812,-34.642330169677734,33.92469024658203,3983.614990234375
722.4423217773438,-34.83939743041992,36.6042594909668,3986.048583984375
723.0482177734375,-34.9614143371582,38.44410705566406,3987.67138671875
723.55859375,-35.07435607910156,40.01369094848633,3989.019775390625
724.0902099609375,-35.18477249145508,41.726959228515625,3991.41455078125
724.5740356445312,-35.309383392333984,43.460426330566406,3993.773193359375
724.9934692382812,-35.43735122680664,45.21241760253906,3996.095947265625
725.3927612304688,-35.59452819824219,47.251705169677734,3998.749755859375
725.6053466796875,-35.731422424316406,49.02751541137695,4001.043212890625
725.7050170898438,-35.86409378051758,50.80852127075195,4003.36181640625
725.6841430664062,-36.0006217956543,52.598297119140625,4005.744140625
725.520751953125,-36.14246368408203,54.37890625,4008.07373046875
725.1290893554688,-36.27683639526367,56.11320495605469,4010.751953125
724.483642578125,-36.42689514160156,57.750728607177734,4013.149169921875
723.5283813476562,-36.55952453613281,59.36079788208008,4015.606689453125
722.4503173828125,-36.677738189697266,60.686073303222656,4017.80029296875
721.2549438476562,-36.78522872924805,61.881038665771484,4019.966552734375
720.0184936523438,-36.8873405456543,63.0345573425293,4022.1787109375
718.7606201171875,-36.98637390136719,64.19835662841797,4024.487060546875
717.3688354492188,-37.09138488769531,65.43193054199219,4027.076904296875
715.8428344726562,-37.19581604003906,66.76615905761719,4029.181396484375
714.022705078125,-37.32674789428711,68.33379364013672,4031.637939453125
712.18115234375,-37.43543243408203,69.88060760498047,4034.09716796875
710.368896484375,-37.545127868652344,71.36077880859375,4036.490234375
708.29541015625,-37.66753387451172,73.00992584228516,4039.199951171875
705.9453735351562,-37.79539108276367,74.82991790771484,4042.241455078125
703.478271484375,-37.92646026611328,76.7200927734375,4045.4228515625
701.2328491210938,-38.04021453857422,78.45222473144531,4048.325927734375
698.3651123046875,-38.182647705078125,80.62196350097656,4051.995361328125
695.3097534179688,-38.32261657714844,82.7852554321289,4055.8125
691.5530395507812,-38.478336334228516,85.23917388916016,4060.386474609375
687.6582641601562,-38.613914489746094,87.64239501953125,4065.051513671875
683.5626831054688,-38.738033294677734,90.05142974853516,4069.8974609375
679.4114990234375,-38.85395431518555,92.43730163574219,4074.786865234375
675.14794921875,-38.95751190185547,94.87481689453125,4079.8076171875
671.0767211914062,-39.041603088378906,97.20556640625,4084.59912109375
665.7562866210938,-39.13967514038086,100.10810852050781,4090.785888671875
660.9606323242188,-39.22580337524414,102.532958984375,4096.2724609375
655.6450805664062,-39.31795120239258,105.05363464355469,4102.28515625
650.5892333984375,-39.40846633911133,107.31612396240234,4107.95166015625
645.4640502929688,-39.50362777709961,109.47122192382812,4113.6328125
640.3106079101562,-39.60038375854492,111.53086853027344,4119.2958984375
634.7457885742188,-39.69346618652344,113.64798736572266,4125.37841796875
629.9671630859375,-39.76848602294922,115.39016723632812,4130.5791015625
624.3906860351562,-39.848289489746094,117.35140991210938,4136.58740234375
619.2572021484375,-39.93014144897461,119.06695556640625,4142.08544921875
614.1814575195312,-39.98772048950195,120.75990295410156,4147.53466796875
608.6000366210938,-40.071197509765625,122.60382843017578,4153.49755859375
603.25244140625,-40.160945892333984,124.28128051757812,4159.17822265625
597.72607421875,-40.239898681640625,125.92279052734375,4164.99462890625
592.0070190429688,-40.325286865234375,127.5952377319336,4170.95361328125
586.0607299804688,-40.41885757446289,129.339599609375,4177.15087890625
579.4112548828125,-40.525535583496094,131.28916931152344,4184.0810546875
573.1819458007812,-40.62596893310547,133.11085510253906,4190.57177734375
566.9500122070312,-40.71870422363281,134.93544006347656,4197.06591796875
560.6556396484375,-40.815494537353516,136.77964782714844,4203.62548828125
554.2810668945312,-40.908775329589844,138.6472625732422,4210.2685546875
547.3253173828125,-41.020057678222656,140.69308471679688,4217.51953125
540.780029296875,-41.12057876586914,142.61407470703125,4224.34130859375
534.16943359375,-41.22494125366211,144.5432891845703,4231.228515625
527.4417724609375,-41.32207489013672,146.4951171875,4238.23388671875
520.65478515625,-41.42257308959961,148.4987335205078,4245.31103515625
513.2618408203125,-41.5323600769043,150.6544189453125,4253.01220703125
